Time	LEyePos3dx	LEyePos3dy	LEyePos3dz	LEyePos3dRelx	LEyePos3dRely	LEyePos3dRelz	LGazePos2dx	LGazePos2dy	LGazePos3dx	LGazePos3dy	LGazePos3dz	LPupilDm	LValidity	REyePos3dx	REyePos3dy	REyePos3dz	REyePos3dRelx	REyePos3dRely	REyePos3dRelz	RGazePos2dx	RGazePos2dy	RGazePos3dx	RGazePos3dy	RGazePos3dz	RPupilDm	RValidity	RelTimestamp
2619771723	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000
2619775056	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.3330
2619778408	-2.3434	3.4425	595.0995	0.5427	0.4831	0.4837	0.4982	0.4964	-0.9102	171.5653	55.9954	4.3067	0	42.0484	7.1476	596.9134	0.3903	0.4603	0.4897	0.4894	0.4453	-5.4466	185.2790	61.5554	3.8441	0	6.6850
2619781755	-2.4005	3.6078	595.1257	0.5429	0.4820	0.4838	0.4948	0.5039	-2.6797	169.5505	55.1785	4.3441	0	41.9878	7.2904	596.8268	0.3904	0.4595	0.4894	0.4853	0.4563	-7.5454	182.3433	60.3652	3.8887	0	10.0320
2619785115	-2.4648	3.7778	595.1494	0.5431	0.4810	0.4838	0.4987	0.4967	-0.6758	171.4837	55.9623	4.3416	0	41.9404	7.4325	596.8835	0.3906	0.4586	0.4896	0.4889	0.4437	-5.6887	185.7059	61.7285	3.8319	0	13.3920
2619788362	-2.5223	3.9485	595.1420	0.5433	0.4799	0.4838	0.5025	0.4853	1.2707	174.5426	57.2025	4.3295	0	41.8769	7.5808	596.7352	0.3908	0.4577	0.4891	0.4919	0.4498	-4.1730	184.0879	61.0725	3.8654	0	16.6390
2619791718	-2.5850	4.1246	595.2219	0.5435	0.4788	0.4841	0.4980	0.4867	-1.0340	174.1632	57.0487	4.3208	0	41.8164	7.7288	596.7926	0.3910	0.4567	0.4893	0.4828	0.4505	-8.8173	183.8853	60.9904	3.8495	0	19.9950
2619795076	-2.6498	4.3045	595.2313	0.5437	0.4777	0.4841	0.4978	0.4809	-1.1067	175.7230	57.6811	4.3016	0	41.7683	7.8824	596.8107	0.3912	0.4558	0.4894	0.4802	0.4727	-10.1520	177.9145	58.5696	3.8698	0	23.3530
2619798439	-2.7086	4.4910	595.2450	0.5439	0.4766	0.4841	0.4980	0.4776	-1.0183	176.6103	58.0408	4.3483	0	41.7031	8.0347	596.7454	0.3914	0.4548	0.4892	0.4819	0.4598	-9.3117	181.3784	59.9740	3.8742	0	26.7160
2619801737	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	30.0140
